,welch_2,welch_10,welch_15,welch_20,welch_25,welch_30,welch_35
68,1.8383319649408132e-10,5.584643800800351e-10,1.3686620923380946e-09,2.363100634208761e-09,3.26646526274191e-09,1.8622642652164502e-09,5.356646575069353e-10
69,1.712962655653574e-10,5.788590560607073e-10,1.1645440035783437e-09,1.1528363173235966e-09,1.3619792869298298e-09,2.903043062184978e-09,5.546478068463011e-10
70,1.7554556902600852e-10,5.374724893114297e-10,1.066968049207905e-09,2.2492777362034736e-09,2.6873696724755216e-09,2.026929295972306e-09,1.2067539798700124e-09
71,1.5085708190889272e-10,5.285771316475092e-10,9.236442951436397e-10,2.39608318226536e-09,4.50205545018361e-09,5.534917140826461e-10,6.273432118534274e-10
72,1.565290886833587e-10,4.949842109147441e-10,1.017021292378002e-09,2.035079865554488e-09,3.2013259716628863e-09,1.8016084952285547e-09,2.8028406904642714e-09
73,1.4170323113126035e-10,4.825965584710828e-10,8.355487682805524e-10,2.1876081106269096e-09,2.244884733684791e-09,3.247798490895923e-09,1.5139455300524257e-09
74,1.4664438833332987e-10,5.037369691992575e-10,9.828928353768513e-10,1.5930900317656568e-09,2.734667311132118e-09,1.4937850581106897e-09,2.589124862145881e-09
75,1.354904041797517e-10,4.2936261926718714e-10,1.055651823574935e-09,2.209260167797282e-09,2.983914401544905e-09,2.8658479635092306e-09,1.6908740341228772e-09
76,1.328882627311702e-10,4.032535637152003e-10,6.430401722035212e-10,1.1578266803347085e-09,1.8177872058667962e-09,1.1068771609978476e-09,1.888255258467895e-09
77,1.2794816512084354e-10,4.0983885862819146e-10,9.424775385035193e-10,2.261276210193855e-09,2.357278196823346e-09,1.9323754919679403e-09,1.157342342078069e-09
78,1.2156877224318468e-10,4.053707061494758e-10,8.327979329906604e-10,1.5273252041581179e-09,1.636611791269492e-09,2.4024667034157762e-09,1.6739342768700404e-09
79,1.1771217601849389e-10,4.511499480051208e-10,6.587623521985562e-10,1.6606768175505983e-09,3.04608557392945e-09,7.83129954712306e-10,3.912195233781943e-10
80,1.1258407743764921e-10,3.615321828039727e-10,6.948782185720179e-10,1.2274441644327494e-09,1.1562850242096101e-09,2.2277290064816717e-09,3.2314765987527513e-09
81,1.1605619849684973e-10,3.226064342572341e-10,7.132700581809868e-10,1.5790253976533619e-09,2.000733062695177e-09,9.663794815346625e-10,2.371016285678634e-09
